code,name,is_active
0457,COOP. DE AH Y CR TEXTIL 14 DE MARZO,0
0323,COOP. DE AHORRO Y CREDITO 4 DE OCTUBRE LTDA.,0
0133,COOP. DE AHORRO Y CREDITO DE LA PEQ. EMP. CACPE YA,0
0328,COOP. DE AHORRO Y CREDITO HUAICANA LTDA,0
0301,COOP. DE AHORRO Y CREDITO LOS ANDES LATINOS LTDA.,0
0263,COOP. DE AHORRO Y CREDITO MUSHUC RUNA LTDA.,0
0275,COOP. DE AHORRO Y CREDITO NUEVA HUANCAVILCA LTDA.,0
0300,COOP. DE AHORRO Y CREDITO PEDRO MONCAYO LTDA.,0
0316,COOP. DE AHORRO Y CREDITO PILAHUIN TIO LTDA.,0
0252,COOP. DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LT,0
0426,COOP. DE AHORRO Y CREDITO SAN MIGUEL DE PALLATANGA,0
0187,COOP. DE AHORRO Y CREDITO SR. DE GIRON,0
9984,COOP. GUARANDA,0
9974,COOP. JUVENTUD ECUATORIANA PROGRESISTA LTDA.,0
9988,COOP. LA DOLOROSA,0
9987,COOP. OSCUS,0
9970,COOP. PABLO MUNOZ VEGA,0
9997,COOP. PEQ. EMPRESA DE PASTAZA,0
9999,COOP. PREVISION AHORRO Y DESARROLLO,0
9979,COOP. RIOBAMBA,0
9969,COOP. TULCAN,0
0322,COOP.DE AHORRO Y CREDITO HUAYCO PUNGO LTDA.,0
0446,COOP.DE AHORRO Y CREDITO MICROEMPRESARIAL SUCRE,0
0205,COOPE AHO Y CRED PADRE JULIAN LORENTE LTDA,0
0233,COOPE.CAMARA DE COMERCIO DE AMBATO,0
0143,COOPERATIVA 9 DE OCTUBRE LTDA,0
0144,COOPERATIVA CACPE BIBLIAN LTDA,0
0405,COOPERATIVA DE AHORO Y CREDITO VISION DE LOS ANDES,0
0313,COOPERATIVA DE AHORRO Y CREDITO ARTESANOS LTDA,0
0319,COOPERATIVA DE AHORRO Y CREDITO CREA LTDA -MIES,0
0296,COOPERATIVA DE AHORRO Y CREDITO FERNANDO DAQUILEMA,0
0295,COOPERATIVA DE AHORRO Y CREDITO LA BENEFICA LTDA,0
0397,COOPERATIVA DE AHORRO Y CREDITO LAS LAGUNAS-MIESS,0
0353,COOPERATIVA DE AHORRO Y CREDITO MINGA LTDA,0
0341,COOPERATIVA DE AHORRO Y CREDITO MULTIEMPRESARIAL L,0
0317,COOPERATIVA DE AHORRO Y CREDITO PILAHUIN,0
0338,COOPERATIVA DE AHORRO Y CREDITO PUCARA LTDA,0
0314,COOPERATIVA DE AHORRO Y CREDITO SANTA ANITA LTDA,0
9963,CORPORACION FINANCIERA,0
0043,DEL LITORAL,0
9966,DELBANK S.A.,0
9967,DINERS CLUB,1
1015,DINERS/VISA INTERDIN/DISCOVER - Transferencias EnL,0
0140,ECUATORIANO DE LA VIVIENDA,0
9964,FINANCIERA FINANCOOP,0
0017,GUAYAQUIL,1
0032,INTERNACIONAL,1
0029,LOJA,0
0025,MACHALA,0
0233,MUTUALISTA AMBATO,0
0234,MUTUALISTA AZUAY,0
0236,MUTUALISTA IMBABURA,0
0238,MUTUALISTA PICHINCHA,0
0030,PACIFICO,1
0010,PICHINCHA ,1
0036,PRODUBANCO,0
0042,RUMINAHUI,0
0059,SOLIDARIO,0
0065,BANCO DESARROLLO DE LOS PUEBLOS S.A.,0
0076,COOP. JARDIN AZUAYO,0
0079,COOP.DE AHORRO Y CREDITO POLICIA NACIONAL,0
0082,FINANCOOP,0
201,BANCO DELBANK S.A.,0
