name,code
AMAZONAS,0034
AUSTRO,0035
BANCO CAPITAL,0061
BANCO CENTRAL,0001
BANCO D MIRO SA,0183
BANCO PROCREDIT,0060
BOLIVARIANO,0037
PICHINCHA,0010
GUAYAQUIL,0017
INTERNACIONAL,0032
PRODUBANCO,0036
